Date,Positive Case Count,DOW,New Cases,Cases Last 14 Days,Population,"Cases Per 100,000","Cases Last 14 Days Per 100,000",Location,County,Total Deaths,LTCF Deaths,Non-LTCF Deaths
2020-02-28,0,4,,,78338,0.0,,Alameda,Alameda,,,
2020-02-29,0,5,0.0,,78338,0.0,,Alameda,Alameda,,,
2020-03-01,0,6,0.0,,78338,0.0,,Alameda,Alameda,,,
2020-03-02,0,0,0.0,,78338,0.0,,Alameda,Alameda,,,
2020-03-03,0,1,0.0,,78338,0.0,,Alameda,Alameda,,,
2020-03-04,10,2,10.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-05,10,3,0.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-06,10,4,0.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-07,10,5,0.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-08,10,6,0.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-09,10,0,0.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-10,10,1,0.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-11,10,2,0.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-12,10,3,0.0,,78338,13.0,,Alameda,Alameda,,,
2020-03-13,10,4,0.0,10.0,78338,13.0,13.0,Alameda,Alameda,,,
2020-03-14,11,5,1.0,11.0,78338,14.0,14.0,Alameda,Alameda,,,
2020-03-15,12,6,1.0,12.0,78338,15.0,15.0,Alameda,Alameda,,,
2020-03-16,13,0,1.0,13.0,78338,17.0,17.0,Alameda,Alameda,,,
2020-03-17,13,1,0.0,13.0,78338,17.0,17.0,Alameda,Alameda,,,
2020-03-18,13,2,0.0,3.0,78338,17.0,4.0,Alameda,Alameda,,,
2020-03-19,14,3,1.0,4.0,78338,18.0,5.0,Alameda,Alameda,,,
2020-03-20,16,4,2.0,6.0,78338,20.0,8.0,Alameda,Alameda,,,
2020-03-21,16,5,0.0,6.0,78338,20.0,8.0,Alameda,Alameda,,,
2020-03-22,17,6,1.0,7.0,78338,22.0,9.0,Alameda,Alameda,,,
2020-03-23,17,0,0.0,7.0,78338,22.0,9.0,Alameda,Alameda,,,
2020-03-24,17,1,0.0,7.0,78338,22.0,9.0,Alameda,Alameda,,,
2020-03-25,17,2,0.0,7.0,78338,22.0,9.0,Alameda,Alameda,,,
2020-03-26,17,3,0.0,7.0,78338,22.0,9.0,Alameda,Alameda,,,
2020-03-27,19,4,2.0,9.0,78338,24.0,11.0,Alameda,Alameda,,,
2020-03-28,20,5,1.0,9.0,78338,26.0,11.0,Alameda,Alameda,,,
2020-03-29,20,6,0.0,8.0,78338,26.0,10.0,Alameda,Alameda,,,
2020-03-30,20,0,0.0,7.0,78338,26.0,9.0,Alameda,Alameda,,,
2020-03-31,21,1,1.0,8.0,78338,27.0,10.0,Alameda,Alameda,,,
